clean_text,conversation_id,id,,,meta.tag,reply_to,speaker,text,timestamp,vectors
"Uhhuh, thats the one. ",2253-0,2253-182,,,"[['Uh-huh,  /', 'b'], [""that's the one. /"", 'qy^d']]",2253-181,1149,"Uh-huh,  /that's the one. /",,[]
 So  thats all you need for  like    charts and stuff. You dont need them in four colors. ,2372-0,2372-113,,,"[[""{C So } that's all you need for {D like }  ((   ))   charts and stuff.  /"", 'qy^d'], [""You don't need them in four colors. /"", 'qy^d']]",2372-112,1055,{C So } that's all you need for {D like }  ((   ))   charts and stuff.  /You don't need them in four colors. /,,[]
"You use the  sneak,  system. ",2372-0,2372-119,,,"[['You use the  (( sneak-, ))  system. /', 'qy^d']]",2372-118,1055,"You use the  (( sneak-, ))  system. /",,[]
" would be terrible, as a teen.  Thats,   uh,    that must be  a wonderful feeling to be in that profession and be able to make a contribution like that. ",2466-0,2466-37,,,"[['-- would be terrible, as a teen.  /', '+'], [""[ That's, + {F uh, }  ((   ))  that must be ] a wonderful feeling to be in that profession and be able to  make a contribution like that. /"", 'qy^d']]",2466-36,1232,"-- would be terrible, as a teen.  /[ That's, + {F uh, }  ((   ))  that must be ] a wonderful feeling to be in that profession and be able to  make a contribution like that. /",,[]
"We had one in Virginia that was sentenced to death  and  the execution was to have taken place a few weeks ago, I dont know if there was anything in your paper about it. ",2488-0,2488-64,,,"[['We had one in Virginia that was sentenced to death  /', 'sd'], ['{C and } the execution was to have taken place a few weeks ago,  /', 'sd'], [""I don't know if there was anything in your paper about it. /"", 'qy^d']]",2488-63,1096,"We had one in Virginia that was sentenced to death  /{C and } the execution was to have taken place a few weeks ago,  /I don't know if there was anything in your paper about it. /",,[]
"Wasnt it Lewisburg that had a lot of,  uh,  bad things happening just in the last couple of weeks,  or  was it not. ",2488-0,2488-86,,,"[[""Wasn't it Lewisburg that had a lot of, {F uh, }  bad things happening just in the last couple of weeks,  /"", 'qy^d'], ['{C or } was it not. /', 'qrr^d']]",2488-85,1096,"Wasn't it Lewisburg that had a lot of, {F uh, }  bad things happening just in the last couple of weeks,  /{C or } was it not. /",,[]
"Weve had several here lately  and,  it,  there were several of them in North Dallas  and then  it started kind of happening a couple of places in South Dallas  and  thats maybe what you were talking about. Men breaking in,  uh,  to houses and taking, or a man,   they,  they  think its the same person, taking,  uh,  little girls right straight out of their beds at night.",2488-0,2488-99,,,"[[""We've had several here lately  /"", 'sd'], ['{C and, }   it, - /', '%'], ['there were several of them in North Dallas  /', 'sd'], ['{C and then } it started kind of happening  a couple of places in South Dallas  /', 'sd'], [""{C and } that's maybe what you were talking about.  /"", 'qy^d'], ['Men breaking in, {F uh, } to houses and taking,  or a man, - /', 'sd'], [""[ they, + they ]  think it's the same person, taking, {F uh, } little girls right straight out of their beds at night."", 'sd']]",2488-98,1233,"We've had several here lately  /{C and, }   it, - /there were several of them in North Dallas  /{C and then } it started kind of happening  a couple of places in South Dallas  /{C and } that's maybe what you were talking about.  /Men breaking in, {F uh, } to houses and taking,  or a man, - /[ they, + they ]  think it's the same person, taking, {F uh, } little girls right straight out of their beds at night.",,[]
"This,  how was,  Im wondering, Im really not that not familiar. I know there are some good places to go camping along  the,   uh,  the  lakes. ",2584-0,2584-91,,,"[['This, - /', '%'], ['how was, - /', '%'], [""I'm wondering,  I'm really not that not familiar.  /"", 'qy^d'], ['I know there are some good places to go camping along  [ the, + {F uh, } the ] lakes. /', 'qy^d']]",2584-90,1106,"This, - /how was, - /I'm wondering,  I'm really not that not familiar.  /I know there are some good places to go camping along  [ the, + {F uh, } the ] lakes. /",,[]
" So,  were hoping to do  like  a three day weekend. Theres,  um,  a thing called Pfeiffer Rim. I dont know if you have ever heard of it? ",2584-0,2584-102,,,"[[""{C So, } we're hoping to do {D like } a three day weekend.  /"", 'sd'], [""There's, {F um, } a thing called Pfeiffer Rim.  /"", 'sd'], [""I don't know if you have ever heard of it? /"", 'qy^d']]",2584-101,1204,"{C So, } we're hoping to do {D like } a three day weekend.  /There's, {F um, } a thing called Pfeiffer Rim.  /I don't know if you have ever heard of it? /",,[]
  But  they have packages  where they just offer the exercise program. Is that what youre saying? ,2603-0,2603-116,,,"[['# {C But } they have packages #  where they just offer the exercise program.  /', 'qy^d'], [""Is that what you're saying? /"", 'qy']]",2603-115,1155,# {C But } they have packages #  where they just offer the exercise program.  /Is that what you're saying? /,,[]
A glass dish. ,2608-0,2608-55,,,"[['A glass dish. /', 'qy^d']]",2608-54,1225,A glass dish. /,,[]
I bet it tastes good too. ,2608-0,2608-99,,,"[['I bet it tastes good too. /', 'qy^d']]",2608-98,1225,I bet it tastes good too. /,,[]
Gumbo. ,2608-0,2608-250,,,"[['Gumbo. /', 'qy^d']]",2608-249,1042,Gumbo. /,,[]
 But  not cats. ,2641-0,2641-13,,,"[['{C But } not cats. /', 'qy^d']]",2641-12,1211,{C But } not cats. /,,[]
" Oh,  except the kid,   huh,  thats  , ",2641-0,2641-54,,,"[['{F Oh, } except the kid,  /', 'qy^d'], [""(( {F huh, } that's )) , -/"", '%']]",2641-53,1235,"{F Oh, } except the kid,  /(( {F huh, } that's )) , -/",,[]
"we were wondering if  they,   uh,  they  had any special law for the horses in Central Park. ",2641-0,2641-136,,,"[['we were wondering if [ they, + {F uh, } they ] had  any special law for the horses in Central Park. /', 'qy^d']]",2641-135,1235,"we were wondering if [ they, + {F uh, } they ] had  any special law for the horses in Central Park. /",,[]
" Well   dont most of them,  doesnt just  about everything now have both metric and English. ",2669-0,2669-12,,,"[[""{D Well } [ don't most of them, + doesn't just ]  about everything now have both metric and English. /"", 'qy^d']]",2669-11,1059,"{D Well } [ don't most of them, + doesn't just ]  about everything now have both metric and English. /",,[]
" And  one of the things that weve run into a problem,  course youre familiar  with the T I drawing,  well,   with any drawing  system ",2669-0,2669-44,,,"[[""{C And } one of the things that we've  run into a problem, - /"", '%'], [""course you're familiar [ with the T I drawing, {D well, } + with any drawing ] system --"", 'qy^d']]",2669-43,1059,"{C And } one of the things that we've  run into a problem, - /course you're familiar [ with the T I drawing, {D well, } + with any drawing ] system --",,[]
About half a liter. ,2669-0,2669-65,,,"[['About half a liter. /', 'qy^d']]",2669-64,1140,About half a liter. /,,[]
" Uh,   but  you were working downtown. ",2932-0,2932-46,,,"[['{F Uh, } {C but } you were working downtown. /', 'qy^d']]",2932-45,1155,"{F Uh, } {C but } you were working downtown. /",,[]
"No, he hooked it up right.  It,  it  was just that  the,  the  part  just,  just  didnt fit the car,  so.  I took it back  and,   uh,    he,  he  took the alter,  the guy  in,  in  the parts shop took the alternator   and  he put it on the little thing he has in there to test them  and,   uh,  he said there was nothing wrong with the alternator  so   we,  we  went back and tried it again, put it on again  and  it still didnt work,  and  we took the car up to,  um,  a little place called Pep Boys, I dont know if you have them in your area  ",2965-0,2965-10,,,"[['No,  /', 'nn'], ['he hooked it up right.  /', 'sd^e'], [""[ It, + it ] was just  that [ the, + the ] part [ just, + just ] didn't fit the car,  /"", 'sd'], ['{C so. } I took it back  /', 'sd'], ['{C and, }  {F uh, }  [ [ he, + he ] took the alter-, + the guy [ in, + in ] the parts shop took the alternator ]  /', 'sd'], ['{C and } he put it  on the little thing he has in there to test them  /', 'sd'], ['{C and, }  {F uh, } he said there  was nothing wrong with the alternator  /', 'sd'], ['{C so } [ we, + we ] went back and tried it  again, put it on again  /', 'sd'], [""{C and } it still didn't work,  /"", 'sd'], ['{C and } we took the car up to,  {F um, } a little place called Pep Boys,  /', 'sd'], [""I don't know if you have them in your area -- /"", 'qy^d']]",2965-9,1024,"No,  /he hooked it up right.  /[ It, + it ] was just  that [ the, + the ] part [ just, + just ] didn't fit the car,  /{C so. } I took it back  /{C and, }  {F uh, }  [ [ he, + he ] took the alter-, + the guy [ in, + in ] the parts shop took the alternator ]  /{C and } he put it  on the little thing he has in there to test them  /{C and, }  {F uh, } he said there  was nothing wrong with the alternator  /{C so } [ we, + we ] went back and tried it  again, put it on again  /{C and } it still didn't work,  /{C and } we took the car up to,  {F um, } a little place called Pep Boys,  /I don't know if you have them in your area -- /",,[]
" Well  you lived in France, ",3020-0,3020-77,,,"[['{D Well } you lived in France, /', 'qy^d']]",3020-76,1235,"{D Well } you lived in France, /",,[]
 so  youve been all through Europe. ,3020-0,3020-79,,,"[[""{C so } you've been all through Europe. /"", 'qy^d']]",3020-78,1235,{C so } you've been all through Europe. /,,[]
 Oh  youre adventurous. You went by yourself. ,3020-0,3020-127,,,"[[""{F Oh } you're adventurous.  /"", 'ba'], ['You went by yourself. /', 'qy^d']]",3020-126,1235,{F Oh } you're adventurous.  /You went by yourself. /,,[]
" Uh,   I guess you have not reached the stage where you need to,  uh,  promote a college or anything,  huh.  ",3047-0,3047-6,,,"[['{F Uh, } <laughter> I guess you have not  reached the stage where you need to, {F uh, } promote a college or anything,  {F huh. } /', 'qy^d']]",3047-5,1171,"{F Uh, } <laughter> I guess you have not  reached the stage where you need to, {F uh, } promote a college or anything,  {F huh. } /",,[]
 That  you are going to let them make. ,3047-0,3047-12,,,"[['# That # you are going to let them make. /', 'qy^d']]",3047-11,1171,# That # you are going to let them make. /,,[]
" Um,  because you went there. ",3047-0,3047-110,,,"[['{F Um, } because you went there. /', 'qy^d']]",3047-109,1171,"{F Um, } because you went there. /",,[]
A concern of yours right now. ,3052-0,3052-4,,,"[['A concern of yours right now. /', 'qy^d']]",3052-3,1285,A concern of yours right now. /,,[]
" Well,  even at that point, most care can be given  at,  in  the home. noise That sound like just an excellent solution. You must feel real good about that. ",3052-0,3052-14,,,"[['{D Well, } even at that point, most care can be given [ at, +  in ] the home.  /', 'sv'], ['<noise> That sound like just an excellent solution.  /', 'ba'], ['You must feel real good about that. /', 'qy^d']]",3052-13,1285,"{D Well, } even at that point, most care can be given [ at, +  in ] the home.  /<noise> That sound like just an excellent solution.  /You must feel real good about that. /",,[]
"resource, which  Im,  I was  thrilled, I really was.  I,  I  just thought that was so neat, that they got him over that hump.  And,   um,  hes in the Herman Method of Reading. I dont know if youre,",3062-0,3062-14,,,"[[""resource, which [ I'm, +  I was ] thrilled,  /"", '+'], ['I really was.  /', 'sd'], ['[ I, + I ] just thought that was so neat, that they got him over that hump.  /', 'sd'], [""{C And, }  {F um, } he's in the Herman Method of Reading.  /"", 'sd'], [""I don't know if you're,"", 'qy^d']]",3062-13,1285,"resource, which [ I'm, +  I was ] thrilled,  /I really was.  /[ I, + I ] just thought that was so neat, that they got him over that hump.  /{C And, }  {F um, } he's in the Herman Method of Reading.  /I don't know if you're,",,[]
" So   she,  she  was able to zero in. ",3062-0,3062-45,,,"[['{C So } [ she, + she ] was able to zero in. /', 'qy^d']]",3062-44,1281,"{C So } [ she, + she ] was able to zero in. /",,[]
She had high standards. ,3103-0,3103-34,,,"[['She had high standards. /', 'qy^d']]",3103-33,1328,She had high standards. /,,[]
" So   it is,   yeah,   and  it must be  rough for you too to see your grandmother. ",3207-0,3207-62,,,"[['{C So } [ it is, +  {D yeah, } {C and }  it must be ] rough for you too to see your grandmother. /', 'qy^d']]",3207-61,1389,"{C So } [ it is, +  {D yeah, } {C and }  it must be ] rough for you too to see your grandmother. /",,[]
" Oh,   well,  then you have first in the experience on immigration. ",3286-0,3286-55,,,"[['{F Oh, } {D well, } then you have first in the experience on immigration. /', 'qy^d']]",3286-54,1376,"{F Oh, } {D well, } then you have first in the experience on immigration. /",,[]
" Oh,  if you had it early. ",3393-0,3393-24,,,"[['{F Oh, } if you had it early. /', 'qy^d']]",3393-23,1343,"{F Oh, } if you had it early. /",,[]
"It kind of crept in  and,  ",3393-0,3393-45,,,"[['It kind of crept in  /', 'qy^d'], ['{C and, } -/', '%']]",3393-44,1407,"It kind of crept in  /{C and, } -/",,[]
"No,  well,  I guess kids are out. ",3397-0,3397-9,,,"[['No,  /', 'b^m'], ['{D well, } I guess kids are out. /', 'qy^d']]",3397-8,1389,"No,  /{D well, } I guess kids are out. /",,[]
Kids are out. ,3397-0,3397-11,,,"[['Kids are out. /', 'qy^d']]",3397-10,1389,Kids are out. /,,[]
"Thats good. At least you,  uh,  follow the game a little bit. ",3397-0,3397-33,,,"[[""That's good.  /"", 'ba'], ['At least you, {F uh, }  follow the game a little bit. /', 'qy^d']]",3397-32,1389,"That's good.  /At least you, {F uh, }  follow the game a little bit. /",,[]
"Uhhuh.  So   in,  in  your area then theres probably a lot of,  um,  career type people that have those type homes  and   ",3398-0,3398-33,,,"[['Uh-huh.  /', 'b'], [""{C So } [ in, + in ] your area then there's  probably a lot of, {F um, } career type people that have those type homes  /"", 'qy^d'], ['{C and } -- -/', '%']]",3398-32,1422,"Uh-huh.  /{C So } [ in, + in ] your area then there's  probably a lot of, {F um, } career type people that have those type homes  /{C and } -- -/",,[]
"Uhhuh.  Now   its,   um,  is it  very wooded around where you are, there lots of pretty trees and, ",3398-0,3398-41,,,"[['Uh-huh.  /', 'b'], [""{D Now } [ it's, +  {F um, } is it ] very wooded around  where you are,  /"", 'qy'], ['there lots of pretty trees and, -/', 'qy^d']]",3398-40,1422,"Uh-huh.  /{D Now } [ it's, +  {F um, } is it ] very wooded around  where you are,  /there lots of pretty trees and, -/",,[]
" A lot of leaves to rake up too, I bet. ",3398-0,3398-49,,,"[['<Laughter> A lot of leaves to rake up too, I bet. /', 'qy^d']]",3398-48,1422,"<Laughter> A lot of leaves to rake up too, I bet. /",,[]
  and  I guess you are. ,3447-0,3447-48,,,"[['-- {C and } I guess you are. /', 'qy^d']]",3447-47,1004,-- {C and } I guess you are. /,,[]
"Thats right, thats right. I guess  theyre, the,  isnt there a  dress code, something about spaghetti straps, Im not even sure what they are. ",3447-0,3447-68,,,"[[""That's right,  /"", 'aa'], [""that's right.  /"", 'aa^r'], [""I guess [ they're, the, +  isn't there a ] dress code, something about spaghetti straps,  /"", 'qy^d'], [""I'm not even sure what they are. /"", 'sd']]",3447-67,1004,"That's right,  /that's right.  /I guess [ they're, the, +  isn't there a ] dress code, something about spaghetti straps,  /I'm not even sure what they are. /",,[]
"Okay,   and,    and   your name was Lisa. ",3447-0,3447-76,,,"[['Okay,  /', 'b'], ['[ {C and, } +  {C and } ] your name was Lisa. /', 'qy^d']]",3447-75,1004,"Okay,  /[ {C and, } +  {C and } ] your name was Lisa. /",,[]
"No, its just the old guys still. ",3491-0,3491-19,,,"[['No,  /', 'b'], [""it's just the old guys still. /"", 'qy^d']]",3491-18,1325,"No,  /it's just the old guys still. /",,[]
Not in a crowd like that. ,3491-0,3491-70,,,"[['Not in a crowd like that. /', 'qy^d']]",3491-69,1464,Not in a crowd like that. /,,[]
"Right,  so  he kind of was a cowboy type, too. ",3491-0,3491-83,,,"[['Right,  /', 'b'], ['{C so } he kind of was a cowboy type, too. /', 'qy^d']]",3491-82,1325,"Right,  /{C so } he kind of was a cowboy type, too. /",,[]
"Made all the decisions  but,   uh,  Jean Luke does more of  a,  a, ",3491-0,3491-85,,,"[['Made all the decisions  /', 'qy^d'], ['{C but, }  {F uh, }  Jean Luke does more of [ a, + a, ]', 'sv']]",3491-84,1325,"Made all the decisions  /{C but, }  {F uh, }  Jean Luke does more of [ a, + a, ]",,[]
"Yeah,  so  you guys can actually get ahead . ",3515-0,3515-35,,,"[['Yeah,  /', 'b'], ['{C so } you guys can actually get ahead <laughter>. /', 'qy^d']]",3515-34,1168,"Yeah,  /{C so } you guys can actually get ahead <laughter>. /",,[]
" Oh,   well,  you are seeing quite a different climate and quite a different neighborhood. ",3517-0,3517-13,,,"[['{F Oh, } {D well, } you are seeing quite a  different climate and quite a different neighborhood. /', 'qy^d']]",3517-12,1349,"{F Oh, } {D well, } you are seeing quite a  different climate and quite a different neighborhood. /",,[]
You probably have enjoyed getting away from the snow. ,3517-0,3517-15,,,"[['You probably have enjoyed getting away from the snow. /', 'qy^d']]",3517-14,1349,You probably have enjoyed getting away from the snow. /,,[]
 They want to be with their friends. How old are your kids? Are they married or what? ,3524-0,3524-20,,,"[['<Laughter> They want to be with their friends.  /', 'qy^d'], ['How old are your kids?  /', 'qw'], ['Are they married or what? /', 'qy']]",3524-19,1001,<Laughter> They want to be with their friends.  /How old are your kids?  /Are they married or what? /,,[]
"They have to see their other parent, I guess ",3524-0,3524-34,,,"[['They have to see their other parent, I guess --', 'qy^d']]",3524-33,1001,"They have to see their other parent, I guess --",,[]
" And,   uh,  I guess if people got thirty, forty thousand bucks to spend on a car,  uh,  thats their prerogative,  you know  .   I,  I,   I  dont have a whole of sympathy  on that  .  You,  maybe you  buy that,  you know,   and  I dont mean to be  knocking,  uh,   ",3541-0,3541-24,,,"[[""{C And, }  {F uh, } I guess if people got thirty,  forty thousand bucks to spend on a car, {F uh, } that's their prerogative, {D you know } <laughter>.  /"", 'sv'], [""[ [ I, + I, ] + I ] don't have a whole of sympathy  (( on that )) .  /"", 'sd'], ['[ You, +   maybe you ] buy that, {D you know, }  /', 'qy^d'], [""{C and } I don't mean to be # knocking, {F uh, } # -/"", 'sd']]",3541-23,1168,"{C And, }  {F uh, } I guess if people got thirty,  forty thousand bucks to spend on a car, {F uh, } that's their prerogative, {D you know } <laughter>.  /[ [ I, + I, ] + I ] don't have a whole of sympathy  (( on that )) .  /[ You, +   maybe you ] buy that, {D you know, }  /{C and } I don't mean to be # knocking, {F uh, } # -/",,[]
"Wow, thats got to be beautiful territory. ",3636-0,3636-36,,,"[['Wow,  /', 'ba'], [""that's got to be beautiful territory. /"", 'qy^d']]",3636-35,1129,"Wow,  /that's got to be beautiful territory. /",,[]
"Yeah.  But,  they are huge. If youve never seen them,  its,  its  very awe inspiring. ",3636-0,3636-51,,,"[['Yeah.  /', 'b'], ['{C But, }  they are huge.  /', 'sd'], [""If you've never seen  them, [ it's, + it's ] very awe inspiring. /"", 'qy^d']]",3636-50,1477,"Yeah.  /{C But, }  they are huge.  /If you've never seen  them, [ it's, + it's ] very awe inspiring. /",,[]
That would have to be a blast. ,3636-0,3636-96,,,"[['That would have to be a blast. /', 'qy^d']]",3636-95,1129,That would have to be a blast. /,,[]
" Um,  I dont know how familiar you are with that area of the country  but,  ",3688-0,3688-54,,,"[[""{F Um, } I don't know how familiar you are with that  area of the country  /"", 'qy^d'], ['{C but, } -/', '%']]",3688-53,1478,"{F Um, } I don't know how familiar you are with that  area of the country  /{C but, } -/",,[]
 Hope its a good program  there. ,3688-0,3688-111,,,"[[""# Hope it's a good program # there. /"", 'qy^d']]",3688-110,1477,# Hope it's a good program # there. /,,[]
" Well,  yes, thats good.  And  probably a good,  uh,  student teacher ratio and things. ",3688-0,3688-119,,,"[['{D Well, } yes,  /', 'aa'], [""that's good.  /"", 'ba'], ['{C And } probably a good, {F uh, } student teacher ratio and things. /', 'qy^d']]",3688-118,1477,"{D Well, } yes,  /that's good.  /{C And } probably a good, {F uh, } student teacher ratio and things. /",,[]
"Yeah.  Uh,  you have got a pretty big family. ",3725-0,3725-5,,,"[['Yeah.  /', 'b'], ['{F Uh, } you have got a pretty big family. /', 'qy^d']]",3725-4,1469,"Yeah.  /{F Uh, } you have got a pretty big family. /",,[]
 Eat a lot. ,3725-0,3725-30,,,"[['<Laughter> Eat a lot. /', 'qy^d']]",3725-29,1477,<Laughter> Eat a lot. /,,[]
" But,  you also manage to make them. ",3725-0,3725-42,,,"[['{C But, }  you also manage to make them. /', 'qy^d']]",3725-41,1477,"{C But, }  you also manage to make them. /",,[]
You cant really get away. ,3725-0,3725-48,,,"[[""You can't really get away. /"", 'qy^d']]",3725-47,1477,You can't really get away. /,,[]
"Yeah.  Well,  maybe this year you can find a more central location. ",3725-0,3725-65,,,"[['Yeah.   /', 'b'], ['{D Well, } maybe this year you can find a more  central location. /', 'qy^d']]",3725-64,1469,"Yeah.   /{D Well, } maybe this year you can find a more  central location. /",,[]
" Oh,  okay. Then the majority of them are still in the Missouri area. ",3725-0,3725-67,,,"[['{F Oh, } okay.  /', 'bk'], ['Then the majority of them are still in  the Missouri area. /', 'qy^d']]",3725-66,1469,"{F Oh, } okay.  /Then the majority of them are still in  the Missouri area. /",,[]
"  And,   uh,   still, you wind up meeting people  you,   uh,  you  never knew you were related to. Let alone  ",3725-0,3725-81,,,"[['# {C And, }  {F uh, } # still, you wind up meeting people  [ you, + {F uh, } you ] never knew you were related to.  Let alone -- /', 'qy^d']]",3725-80,1469,"# {C And, }  {F uh, } # still, you wind up meeting people  [ you, + {F uh, } you ] never knew you were related to.  Let alone -- /",,[]
" Oh,   so  thats a bit of a drive for you there. ",4013-0,4013-18,,,"[[""{F Oh, } {C so } that's a bit of a drive for you there. /"", 'qy^d']]",4013-17,1390,"{F Oh, } {C so } that's a bit of a drive for you there. /",,[]
" Oh,   so  you like to go there for the holidays  and.  ",4013-0,4013-20,,,"[['{F Oh, } {C so } you like to go there for the  holidays  /', 'qy^d'], ['{C and. } -/', '%']]",4013-19,1390,"{F Oh, } {C so } you like to go there for the  holidays  /{C and. } -/",,[]
"Uhhuh.  Um,   so  those are more or less indoor sports. Hows the ",4032-0,4032-2,,,"[['Uh-huh.  /', 'b'], ['{F Um, } {C so } those are more or less  indoor sports.  /', 'qy^d'], [""How's the --"", 'qw']]",4032-1,1532,"Uh-huh.  /{F Um, } {C so } those are more or less  indoor sports.  /How's the --",,[]
" And,   uh,   we have a,  my husband and I have  a,  a,   aerobic video thats called The Firm. I dont know if youve heard of it,  but  its  a,  an  aerobic video with, not necessarily bouncing around and jumping up and down,  but  youre using weights,  and  that is the most incredible aerobic workout I have ever done.  Its  ",4032-0,4032-20,,,"[[""{C And, }  {F uh, } [ we have a, + my husband and I have  [ a, + a, ] ] aerobic video that's called The Firm.  /"", 'sd'], [""I don't know if you've heard of it,  /"", 'qy^d'], [""{C but }  it's [ a, + an ] aerobic video with, not necessarily bouncing around and jumping up and down,  /"", 'sd'], [""{C but } you're using weights,  /"", 'sd'], ['{C and } that is the most incredible aerobic  workout I have ever done.  /', 'sd'], [""[ It's + --"", 'sd']]",4032-19,1532,"{C And, }  {F uh, } [ we have a, + my husband and I have  [ a, + a, ] ] aerobic video that's called The Firm.  /I don't know if you've heard of it,  /{C but }  it's [ a, + an ] aerobic video with, not necessarily bouncing around and jumping up and down,  /{C but } you're using weights,  /{C and } that is the most incredible aerobic  workout I have ever done.  /[ It's + --",,[]
" So,  in the winter, I guess, theres a lot of,  its quite cold and ",4032-0,4032-85,,,"[[""{C So, } in the winter, I guess, there's a lot of, - /"", 'qy^d'], [""it's quite cold and --"", 'qy^d']]",4032-84,1514,"{C So, } in the winter, I guess, there's a lot of, - /it's quite cold and --",,[]
"All this planning  and,  and  getting together and such.  Um,   oh,  lets see what else. ",4050-0,4050-15,,,"[['All this planning [ and, + and ] getting together and such.  /', 'qy^d'], [""{F Um, } {F oh, } let's see what else. /"", '^h']]",4050-14,1421,"All this planning [ and, + and ] getting together and such.  /{F Um, } {F oh, } let's see what else. /",,[]
"Uhhuh,  and then  did you have a main meal,  or  did everyone just bring,  it  was just pot luck.  ",4050-0,4050-35,,,"[['Uh-huh,  /', 'bk'], ['{C and then } did you have a main  meal,  /', 'qy'], ['{C or } did everyone just bring, - /', '%'], ['it # was just pot luck. # /', 'qy^d']]",4050-34,1421,"Uh-huh,  /{C and then } did you have a main  meal,  /{C or } did everyone just bring, - /it # was just pot luck. # /",,[]
"Yeah, yeah, show off a little bit . ",4050-0,4050-39,,,"[['Yeah,  /', 'b'], ['yeah,  /', 'b^r'], ['show off a little bit <laughter>. /', 'qy^d']]",4050-38,1421,"Yeah,  /yeah,  /show off a little bit <laughter>. /",,[]
" Uh,  also one thing thats helpful,  and  I dont know if your familys spread out or whatever  ",4050-0,4050-54,,,"[[""{F Uh, } also one thing that's helpful,  /"", 'sv'], [""{C and } I don't  know if your family's spread out or whatever -- /"", 'qy^d']]",4050-53,1514,"{F Uh, } also one thing that's helpful,  /{C and } I don't  know if your family's spread out or whatever -- /",,[]
 They must really like it there. ,4050-0,4050-79,,,"[['<Laughter> They must really like it there. /', 'qy^d']]",4050-78,1421,<Laughter> They must really like it there. /,,[]
" And,   uh,  theyve got these, I dont know what, if youre familiar with Sarasota county at all. ",4483-0,4483-7,,,"[[""{C And, }  {F uh, } they've got these, I don't know what, if you're familiar with Sarasota county at all. /"", 'qy^d']]",4483-6,1533,"{C And, }  {F uh, } they've got these, I don't know what, if you're familiar with Sarasota county at all. /",,[]
" Uh,   yeah,  well.  I listen to this talk radio station down here  and  its really,   th,  they,   I dont if you ever listen to talk radio  but  ",4483-0,4483-93,,,"[['{F Uh, } <laughter> yeah,  /', 'b'], ['{D well. }  I listen to this  talk radio station down here  /', 'sd'], [""{C and } it's really, - /"", '%'], ['[ th-, + they, ] - /', '%'], [""I don't if you ever  listen to talk radio  /"", 'qy^d'], ['{C but } --', 'sd']]",4483-92,1533,"{F Uh, } <laughter> yeah,  /{D well. }  I listen to this  talk radio station down here  /{C and } it's really, - /[ th-, + they, ] - /I don't if you ever  listen to talk radio  /{C but } --",,[]
Youve been through the fun part . ,4785-0,4785-6,,,"[[""You've been through the fun part <laughter>. /"", 'qy^d']]",4785-5,1515,You've been through the fun part <laughter>. /,,[]
"She worked at home, Im  sure .  ",4785-0,4785-28,,,"[[""She worked at home,  I'm # sure <laughter>. # /"", 'qy^d']]",4785-27,1515,"She worked at home,  I'm # sure <laughter>. # /",,[]
I imagine.  And  I imagine you still have a very close relationship with them. ,4785-0,4785-84,,,"[['I imagine.  /', 'ba'], ['{C And } I imagine you still have a very  close relationship with them. /', 'qy^d']]",4785-83,1515,I imagine.  /{C And } I imagine you still have a very  close relationship with them. /,,[]
"Uhhuh.  Well,  you must have a relatively clean conscience then . ",2012-0,2012-38,,,"[['Uh-huh.  /', 'b'], ['{D Well, } you must have a relatively  clean conscience then <laughter>. /', 'qy^d']]",2012-37,1119,"Uh-huh.  /{D Well, } you must have a relatively  clean conscience then <laughter>. /",,[]
 So  you have a break too. ,2035-0,2035-14,,,"[['{C So } you have a break too. /', 'qy^d']]",2035-13,1107,{C So } you have a break too. /,,[]
"  And,    and   you said about Plano and Campbell is the petting, ",2035-0,2035-64,,,"[['[ {C And, } + {C and } ] you said about  Plano and Campbell is the petting, /', 'qy^d']]",2035-63,1107,"[ {C And, } + {C and } ] you said about  Plano and Campbell is the petting, /",,[]
" Because  they can just do,  you dont have to have tokens for everything. ",2035-0,2035-72,,,"[['{C Because } they can just do, - /', '%'], [""you don't have to have tokens for everything. /"", 'qy^d']]",2035-71,1107,"{C Because } they can just do, - /you don't have to have tokens for everything. /",,[]
Threw it away . ,2078-0,2078-23,,,"[['Threw it away <laughter>. /', 'qy^d']]",2078-22,1071,Threw it away <laughter>. /,,[]
No communication whatsoever. ,2078-0,2078-97,,,"[['No communication whatsoever. /', 'qy^d']]",2078-96,1071,No communication whatsoever. /,,[]
 And  you never see it. ,2078-0,2078-105,,,"[['{C And } you never see it. /', 'qy^d']]",2078-104,1071,{C And } you never see it. /,,[]
 Or  working in the system. ,2078-0,2078-127,,,"[['{C Or } working in the system. /', 'qy^d']]",2078-126,1071,{C Or } working in the system. /,,[]
"Yeah, they want to see all the horror movies. ",2078-0,2078-185,,,"[['Yeah,  /', 'b'], ['they want to see all the horror movies. /', 'qy^d']]",2078-184,1071,"Yeah,  /they want to see all the horror movies. /",,[]
Dont you? Just massive rental. ,2078-0,2078-190,,,"[[""Don't you?  /"", 'qy'], ['Just massive rental. /', 'qy^d']]",2078-189,1027,Don't you?  /Just massive rental. /,,[]
Again. ,2157-0,2157-83,,,"[['Again. /', 'qy^d']]",2157-82,1018,Again. /,,[]
 So  now the tickets even got lower than the lowest one last year. ,2157-0,2157-87,,,"[['{C So } now the tickets even got lower than the  lowest one last year. /', 'qy^d']]",2157-86,1018,{C So } now the tickets even got lower than the  lowest one last year. /,,[]
